Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022
,Social Policy UG Degree * 0 0 6 0,0 11 *,0 7 0,0 10 *,*,,,,,,,,,
,PG Taught 10 * * 7 6,* * *,* 7 *,0 * *,*,,,,,,,,,
,Sociology UG Degree * 0 0 * 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught 7 * 0 11 *,* * 0,0 9 5,* 9 5,*,,,,,,,,,
,Statistics UG Degree 6 * * 0 0,0 6 0,0 * 0,0 9 *,*,,,,,,,,,
,PG Taught 5 0 0 5 *,0 * *,0 * 0,0 0 0,0,,,,,,,,,
Austrian,Accounting UG Degree 7 0 0 6 0,0 * 0,0 6 0,0 8 0,0,,,,,,,,,
,PG Taught 8 * * 5 *,0 5 *,0 10 *,* * *,*,,,,,,,,,
,Anthropology UG Degree * * 0 * *,0 * 0,0 * *,* 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,* 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 5 * * * 0,0 0 0,0 * *,* 5 0,0,,,,,,,,,
,History PG Taught * * * * *,* * 0,0 * *,0 * *,*,,,,,,,,,
,Economics UG Degree 16 0 0 12 0,0 10 0,0 16 0,0 9 *,0,,,,,,,,,
,PG Taught 12 7 * 9 6,* 7 *,* * *,* * *,*,,,,,,,,,
,European In.. PG Taught 11 * 5 7 5,* 12 7,* 15 9,* 7 *,*,,,,,,,,,
,Finance UG Degree 5 * 0 * 0,0 6 *,* 5 *,* 10 5,*,,,,,,,,,
,PG Taught 20 * * 18 6,* 22 9,* 28 12,* 13 *,*,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * *,* * 0,0 * 0,0 * *,*,,,,,,,,,
,Geography UG Degree * * * * 0,0 * 0,0 * *,* * *,0,,,,,,,,,
Austrian,and Environ.. PG Taught 13 * * 7 *,* 8 *,* 28 6,* 20 7,5,,,,,,,,,
,Government UG Degree 12 * 0 10 *,* 7 0,0 8 0,0 7 0,0,,,,,,,,,
,PG Taught 10 * 0 10 *,* 8 *,* 5 *,* 13 9,*,,,,,,,,,
,Health Policy PG Taught * * * * *,* * 0,0 * *,0 0 0,0,,,,,,,,,
,International.. PG Taught 9 * * 6 *,* 11 5,* 12 8,5 9 *,*,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,History PG Taught * * * * *,* * 0,0 * *,* 0 0,0,,,,,,,,,
,International UG Degree 10 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught 20 9 8 9 *,* 9 *,* * *,0 9 5,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Law School UG Degree 8 0 0 9 *,* 6 0,0 8 0,0 * 0,0,,,,,,,,,
,PG Taught 16 9 7 13 6,* 12 6,* 13 *,* 10 6,*,,,,,,,,,
,Management UG Degree 16 * * 11 *,* 14 *,0 8 *,* 15 0,0,,,,,,,,,
,PG Taught 26 11 5 23 11,* 21 6,* 22 8,* 16 9,*,,,,,,,,,
,Mathematics UG Degree * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 0 0,0 * 0,0 * *,*,,,,,,,,,
,Media and C.. PG Taught 6 * * 7 *,* * *,* * 0,0 * *,0,,,,,,,,,
,Methodology PG Taught * 0 0 * 0,0 * 0,0 * *,* 0 0,0,,,,,,,,,
,"Philosophy, UG Degree 16 0 0 9 0",0 10 0,0 8 *,* 7 0,0,,,,,,,,,
,Logic and S.. PG Taught * * 0 * *,* * *,* 6 *,0 * 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught 13 * 0 13 6,* 9 *,0 10 *,* 7 *,*,,,,,,,,,
,School of Pu.. PG Taught * * * * *,0 0 0,0 * 0,0 7 *,*,,,,,,,,,
,Social Policy UG Degree 5 * 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * * 5 *,* * *,0 * 0,0 6 *,*,,,,,,,,,
,Sociology UG Degree 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,PG Taught * * * 9 5,0 * *,0 6 *,* * *,*,,,,,,,,,
,Statistics UG Degree * 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* * 0,0 7 *,* * 0,0,,,,,,,,,
Azerbaijani,Accounting UG Degree 5 * 0 5 0,0 * 0,0 * 0,0 6 *,0,,,,,,,,,
,PG Taught 5 * * * 0,0 * 0,0 6 *,* * *,*,,,,,,,,,
,Anthropology UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 * *,* * *,* 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 * *,* * 0,0 * 0,0 23 0,0,,,,,,,,,
,PG Taught * * * * *,* 0 0,0 * 0,0 * 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Finance UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 23 0 0 5 *,0 8 *,0 11 *,* 23 *,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Geography UG Degree * 0 0 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught 5 * 0 * 0,0 * *,* 0 0,0 * *,0,,,,,,,,,
,Government UG Degree * * 0 * 0,0 5 0,0 * 0,0 5 *,*,,,,,,,,,
,PG Taught 5 * * 6 *,* * 0,* * 0,0 31 *,*,,,,,,,,,
,International.. PG Taught * 0 0 0 0,0 * *,* * *,0 * 0,0,,,,,,,,,
,International.. PG Taught * * * 0 0,0 * *,0 * *,0 * *,0,,,,,,,,,
,International UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * * 0 * *,* 5 *,* 7 0,0 * *,*,,,,,,,,,
,Law School UG Degree 5 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 6 *,* * *,* 5 *,0 5 *,0,,,,,,,,,
,Management UG Degree * 0 0 * *,0 * 0,0 5 0,0 * *,*,,,,,,,,,
Azerbaijani,Management PG Taught 12 * * 8 *,* 10 *,* 13 *,0 9 *,*,,,,,,,,,
,Mathematics UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 6 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * *,* 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 * 0,0 0 0,0 * *,* * *,*,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * 0",0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * * * 0 0,0 * 0,0 * *,* * *,0,,,,,,,,,
,School of Pu.. PG Taught * 0 0 0 0,0 * 0,0 7 *,* 56 14,8,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Sociology UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* * 0,0 * 0,0 6 *,0,,,,,,,,,
,Statistics UG Degree * 0 0 0 0,0 0 0,0 * *,* * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
Bahamian,Accounting UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Geography .. PG Taught 0 0 0 * *,0 * *,0 0 0,0 * 0,0,,,,,,,,,
,Government UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Relations PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Law School UG Degree * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Management PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Mathematics PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. PG Taught 0 0 0 0 0",0 * *,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught * * * 0 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,Social Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
Bahraini,Accounting UG Degree * * * 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * * 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Anthropology UG Degree * * 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Economic UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,History PG Taught 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * * * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 5 0 0 * 0,0 * 0,0 * 0,0 8 *,*,,,,,,,,,
,Geography UG Degree * 0 0 0 0,0 * *,* 0 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
Bahraini,International.. PG Taught * * * * *,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 * *,* 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * * * *,* * 0,0 * 0,0 * *,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 9 0 0 * 0,0 * 0,0 * 0,0 5 *,*,,,,,,,,,
,Mathematics UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. UG Degree * 0 0 0 0",0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught 0 0 0 * *,* * 0,0 0 0,0 * *,*,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Sociology UG Degree * 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
Bangladeshi,Accounting UG Degree 12 0 0 12 0,0 12 0,0 14 *,* 16 5,*,,,,,,,,,
,PG Taught * * * * 0,0 5 *,* * *,* * *,0,,,,,,,,,
,Anthropology UG Degree * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,Economic UG Degree * 0 0 * *,0 * 0,0 5 *,* * 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Economics UG Degree 21 0 0 11 0,0 19 0,0 24 0,0 12 0,0,,,,,,,,,
,PG Taught 6 * * 6 *,* * *,0 7 *,0 * 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 * 0,0 * *,0 * *,* * 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 6 *,* 5 0,0 7 *,*,,,,,,,,,
,Gender Stud.. PG Taught * * 0 7 *,* 10 *,* 8 *,* * *,0,,,,,,,,,
,Geography UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 * 0,0 6 *,0 14 *,* 9 *,*,,,,,,,,,
,Government UG Degree 6 * 0 * 0,0 8 0,0 8 0,0 5 0,0,,,,,,,,,
,PG Taught 7 * * 10 *,0 * 0,0 8 0,0 5 0,0,,,,,,,,,
,Health Policy PG Taught 7 * * 8 *,* * *,0 5 *,* 7 *,*,,,,,,,,,
,International.. PG Taught 13 5 * 21 6,* 16 *,* 18 *,* 27 *,0,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 * *,0 * 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 * 0,0 * *,0 * *,0,,,,,,,,,
,International UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught 5 0 0 * 0,0 5 *,* * 0,0 5 *,*,,,,,,,,,
,Language C.. UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 6 0 0 5 0,0 8 0,0 14 *,0 7 *,0,,,,,,,,,
,PG Taught * * 0 8 *,0 12 *,* 6 *,* 5 5,0,,,,,,,,,
,Management UG Degree * 0 0 * 0,0 6 0,0 8 *,* * *,0,,,,,,,,,
,PG Taught 6 * 0 11 *,0 15 *,0 15 6,* 12 *,*,,,,,,,,,
,Mathematics UG Degree * 0 0 * 0,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 5 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * * 7 *,* * *,0 * *,0 * *,0,,,,,,,,,
,Methodology PG Taught 0 0 0 0 0,0 * *,0 * *,* * 0,0,,,,,,,,,
Bangladeshi,"Philosophy, UG Degree 5 * 0 * 0",0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree * * * 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught 0 0 0 * 0,0 * *,* * *,* * *,0,,,,,,,,,
,School of Pu.. PG Taught * 0 0 * *,0 10 6,* 16 9,* 10 5,*,,,,,,,,,
,Social Policy UG Degree 6 0 0 8 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,* 6 *,* 6 *,* * 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 * *,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,PG Taught 5 * * 8 *,0 * 0,0 10 5,* 8 *,*,,,,,,,,,
,Statistics UG Degree * 0 0 * *,* 5 *,* 5 0,0 * *,*,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 * *,* * 0,0,,,,,,,,,
Barbadian,Accounting UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Economics PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Finance UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Geography .. UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,International.. PG Taught * * 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Management PG Taught * * 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Mathematics PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Methodology PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. UG Degree 0 0 0 0 0",0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Statistics PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Belarus,Accounting UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Anthropology PG Taught 0 0 0 0 0,0 * *,* * *,0 * *,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,Geography .. PG Taught 0 0 0 * *,* 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Government UG Degree * 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,International.. PG Taught * * 0 * *,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Relations PG Taught * 0 0 * *,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 * *,0 * *,* * 0,0 * *,0,,,,,,,,,
,Management UG Degree * 0 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 5 *,0 6 *,* 0 0,0 * 0,0,,,,,,,,,
Belarus,Mathematics UG Degree 0 0 0 0 0,0 * *,* * *,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught * * 0 * 0,0 * 0,0 * *,* * 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,"Philosophy, UG Degree 0 0 0 0 0",0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * 0 0 0 0,0 * *,* * 0,0 * *,*,,,,,,,,,
,Social Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Belgian,Accounting UG Degree * 0 0 * 0,0 * 0,0 5 *,0 * 0,0,,,,,,,,,
,PG Taught * * * * *,* * *,0 * *,* * *,0,,,,,,,,,
,Anthropology UG Degree * 0 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * * 0 0,0 0 0,0 * *,* * *,0,,,,,,,,,
,Economic UG Degree * 0 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,History PG Taught * * * * *,* * *,0 * *,0 * *,*,,,,,,,,,
,Economics UG Degree 8 * 0 7 0,0 6 0,0 8 *,0 8 0,0,,,,,,,,,
,PG Taught 5 * * * 0,0 * *,0 6 *,* * *,*,,,,,,,,,
,European In.. PG Taught 9 * * 7 *,* 10 6,5 10 6,5 7 5,*,,,,,,,,,
,Finance UG Degree * 0 0 * 0,0 7 *,* 5 *,0 * *,*,,,,,,,,,
,PG Taught 14 * * 14 *,* 17 *,* 10 *,0 17 0,0,,,,,,,,,
,Gender Stud.. PG Taught * * * * *,* * *,* 0 0,0 5 *,*,,,,,,,,,
,Geography UG Degree * * 0 6 *,* * 0,0 * 0,0 * *,*,,,,,,,,,
,and Environ.. PG Taught 6 * * 9 *,0 11 5,* 7 *,* 16 5,*,,,,,,,,,
,Government UG Degree 13 * * 10 *,0 12 0,0 9 0,0 7 0,0,,,,,,,,,
,PG Taught 7 * 0 * 0,0 5 *,* 9 *,* * *,0,,,,,,,,,
,Health Policy PG Taught 6 * * * *,* 0 0,0 * *,* * *,*,,,,,,,,,
,International.. PG Taught * * * 5 *,* 12 *,* 7 *,* 10 6,5,,,,,,,,,
,International UG Degree 5 * * * *,* * 0,0 6 *,0 7 *,0,,,,,,,,,
,History PG Taught 8 * * * 0,0 * *,0 * *,* 0 0,*,,,,,,,,,
,International UG Degree 6 * * * *,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught 11 * * * *,* * *,* 8 *,* 12 *,*,,,,,,,,,
,Language C.. UG Degree * * 0 * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Law School UG Degree 10 * * 9 *,0 11 0,0 12 *,* 5 *,*,,,,,,,,,
,PG Taught 41 10 5 22 11,8 18 8,* 20 12,6 28 18,7,,,,,,,,,
,Management UG Degree 11 * * 5 0,0 11 0,0 13 *,* 13 *,*,,,,,,,,,
,PG Taught 30 8 * 25 11,6 27 9,5 16 8,* 13 *,*,,,,,,,,,
,Mathematics UG Degree * * 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * *,0 * 0,0 * *,0,,,,,,,,,
,Media and C.. PG Taught 5 * * * *,* * *,* * 0,0 * *,*,,,,,,,,,
,Methodology PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 9 0",0 0 0,0 * 0,0 5 0,0,,,,,,,,,
,Logic and S.. PG Taught * * * * *,0 * *,* * 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree * * * * 0,0 0 0,0 * *,* * *,0,,,,,,,,,
,and Behavio.. PG Taught * * * * *,* 5 *,* 8 *,* * *,*,,,,,,,,,
,School of Pu.. PG Taught * * 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Social Policy UG Degree * 0 0 * *,* * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 5 *,* * *,0 * *,* * *,*,,,,,,,,,
,Sociology UG Degree 0 0 0 0 0,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 6 * * * *,* 6 *,* 8 *,* * *,*,,,,,,,,,
Belgian,Statistics UG Degree * * 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 10 *,* * 0,0 * 0,0 * *,0,,,,,,,,,
Belizean,Accounting UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Economic Hi.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught * * * 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Government PG Taught 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught * * 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught * 0 0 0 0,0 * *,0 0 0,0 * 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Relations PG Taught 0 0 0 * *,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Law School UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Management PG Taught * 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Mathematics UG Degree * * * 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Social Policy PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Sociology PG Taught 0 0 0 * *,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Statistics PG Taught * * 0 * *,0 * *,0 * 0,0 0 0,0,,,,,,,,,
Benin,Accounting PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
